abacus	счёты	The Persians first began to use the abacus.
abandon	оставлять; покидать; отказываться	The one point they will never abandon is there will be no unlimited right of return.
abash	смущать; конфузить	You must find those adults to expect the abash these themes.
abate	ослаблять	It doesn't seem to abate, that is for sure.
abdicate	отрекаться от престола; отречься	The secretary of state should not abdicate from leadership on educational issues.
abdominal	живот; брюшной	Abdominal pain
abduct	похищать; насильно уводить; отводить конечность	And might ETs, on occasion, abduct CTs as well as humans?
abduction	похищение; насильственный увоз; отведение мышц	They organized the abduction of Mr. Cordes on his way to the airport.
abhor	ненавидеть	To be honest, I kind of abhor the title of "space tourist."
abide	подчиняться	I said I would abide by their decision.
abiding	постоянный; неизменный; прочный; послушный	And this was the main abiding-place of the Folk that I had chanced upon.
abjection	унижение; приниженность	The notion of abjection is that the abject is a part of us in some profound sense.
ablution	вода для омовения; омовение	Ablution is ceremonial washing.
abode	жилище; местопребывание; обитель	His abode is out of the way and rather cat-inconvenien.
abolish	уничтожать; упразднять; отменять	In order to balance the budget by 2020 abolish the entirety of government.
abominable	ужасный; отвратительный; гадкий	Israel literally went beyond the heathen in abominable idolatries.
abominate	питать отвращение; ненавидеть	They abominated the very idea of monarchy.
abreast	рядом; в ряд; вровень	As they drew in abreast, Corry recognized him and halted the dogs.
abrupt	внезапный; резкий	Ah Cho looked at him in abrupt perplexity and said:
absence	отсутствие; прогул; недостаток	The letter had arrived during his absence
absent	отсутствующий; отсутствовать	In a different context because it is absent from the interview transcript.
absentminded	беспамятный; рассеяный	Like Amber, they are often described as absentminded.
absolve	освобождать; прощать; отпускать грех	I must in God's name absolve her from sins that my human heart cannot forgive.
absorbed	поглощенный; занятый; увлеченный	He was gazing into the water with absorbed attention
absorption	впитывание; поглощение; абсорбция	Calorie consumption rather than calorie absorption is the common understanding.
abstain	воздерживаться; не принимать участия	If I lived in Louisiana, I would abstain from the Senate race.
abstinence	воздержание; ломка; абстиненция	I started drinking again after six years of abstinence
abundance	изобилие; множество; избыток	Be that as it may, what the British do have, and in abundance, is character!
abundant	имеющийся в изобилии; богатый; обильный	There is great pride in abundant, draping hanging baskets.
abuse	злоупотреблять; плохо обращаться; оскорблять	The idea of subjecting every US citizen to this abuse is abhorrent.
abyss	бездна; пропасть	Gaze into the abyss from the comfort of your own h ...
accessory	принадлежности; вспомогательный	Remember, the best accessory is a pet identification tag!
accidentally	случайно; нечаянно	When a coin accidentally drops into the slot, it dispenses a peanut.
acclaim	бурно аплодировать; провозглашать	What heil first and foremost attempts to acclaim is the power of language to acclaim.
accommodate	приспосабливать	The very province we were jointly trying to accommodate is isolated yet again.
accompany	сопровождать; сопутствовать	Last day tohave your recipe and your name accompany the likes of Carol.
accomplice	сообщник; соучастник	An accomplice in the murder
accomplish	выполнять; совершать; достигать	Everything she has tried to accomplish is still unresolved.
accomplishment	выполнение; достижение	Every accomplishment is a victory and should be celebrated.
accord	соглашение; гармония; соответствие	I find it in accord with all observable principles of the known universe, save one.
accordance	соответствие; согласие; гармония	But what I have said is in accordance with most National laws.
accountability	ответственность; необходимость отчитываться	Of course the accountability is being applied upside-down.
accrual	нарастание; начисление; начисленный	For a young participant, the cash balance accrual is ordinarily faster.
accrue	накопляться	Investors long the calls accrue profits if shares surge to $11.61
accumulate	накапливать; накапливать; собирать	The tendency of Capital to accumulate is a big threat to the free market.
accuracy	точность; правильность; аккуратность	But when you probe that claim, its accuracy is open to question.
accuse	обвинять; предъявлять обвинение; винить; упрекать	You mustn't accuse Stanley of anything so terrible.
accustom	привыкать; приучать	Whose heart th 'accustom'd sight of death makes hard.
ache	боль; испытывать боль; жаждать; сострадать	Our legs were already starting to ache from the hard slog downhill all day.
acknowledge	признавать; подтверждать	What Goldstein fails to acknowledge is that this line has already been crossed.
acquaint	знакомить; познакомить; известить	You need to acquaint yourself with the house style
acquire	приобретать; обзаводиться; получать; овладевать	I managed to acquire all the books I needed
acquisition	приобретение; овладение; поглощение	Participant knowledge acquisition is measured by pre and post testing.
acquit	оправдать; реабилитировать	Yet believing that real life will not acquit, he itches for a sentence.
acrid	едкий запах; горький	I hasten to spit it out, but all day my lips are still hot and acrid from the brief experiment.
across	через; повсеместно; сквозь; поперёк	Romantic emails had been exchanged with Jane: Write your name across the sky.
acuity	острота; резкость	AGENT ORANGE, annoyed: Your visual acuity is uncanny.
acumen	сообразительность; острота ума; проницательность	Your scientific acumen is clearly lacking.
acute	острый; резкий	Orthopaedic consultation in acute and chronic rheumatic diseases
adage	поговорка; изречение; афоризм; пословица	He said the aged adage is loyal - once we get married, the sex stops.
addict	наркоман; увлекаться; поклонник	I'm not a label addict, although I will check out Donna Karan, Dolce 
additivity	аддитивность; суммируемость	Examples of chemical or drug additivity reactions are:
adherence	строгое соблюдение; приверженность; верность	A strict adherence to etiquette.
adhesive	липкий; связывающий; клей	As for the tape, the older the adhesive is the harder it is to remove.
adjacent	соседний; прилежащий	Carried out their survey in adjacent Gobindpur village.
adjoin	граничить; прилегать	It is easy to point a finger at villagers whose homes adjoin orangutan habitat.
adjust	регулировать; приспосабливать; прилаживать; пригонять	Some people just have to adjust from the type "A" self defense type of lifestyle.
adjustment	внесение поправок; настройка; регулировка	Whether or not an adjustment is made is determined by formula.
admire	любоваться; восхищаться	In the field of fiction the book I most admire is The Great Gatsby by Fitzgerald.
admission	доступ; вход; допущение; принятие	General admission to the nighttime entertainment is free with Fair admission
admit	допускать; соглашаться; признавать	Jacob, I have to admit, is cute just not as hot as Edward.
adolescent	подросток; юношеский; молодой	We know that the adolescent is spontaneously homosexual.
adoption	усыновление; принятие	We think a healthy percentage of Google Docs adoption is coming from ad hoc use.
adorn	украшать; приукрашивать	No subtitles adorn this release, but Closed Captioning is available.
adorning	украшение; являться атрибутом	It is thought that he did this to use the elaborate sculpture in adorning his palace.
adulatory	льстивый; угодливый; прелюбодейный	I wonder how adulatory the BBC coverage will be.
advantage	преимущество; польза; выгода	Its main advantage is that it generates votes at a fairly reliable pace.
advent	прибытие; приход; пришествие	The advent of television
adverse	враждебный; неблагоприятный	As being highly reliable in adverse conditions.
adversity	несчастья; бедствия; напасти; трудность	And struck a match - Ah, even in adversity life can be sweet.
advice	совет; консультация	Your posts will be excellent if they contain advice from the trenches.
