абитуриент	entrant
абсолютно	utterly
абсолютное большинство	vast majority
абсолютный	utter
абсорбция	absorption
абстиненция	abstinence
аванс в счет зарплаты	subsist
авария	breakdown; breakage; wreck
авторитет	authority
агитация	canvassing
агитировать	canvassing
агония	torture
агрессивный шовинизм	jingoism
адвокат	attorney
аддитивность	additivity
ажиотаж	frenzy
азарт	ardor
азартная игра	gamble
азартно	excitedly
айва	quince
акация	wattle
акваланг	scuba
аккорд	chord
аккуратно	neatly
аккуратность	accuracy
аккуратный	neat; tidy
акт	deed
актив	asset
активно	vigorously
акцент	emphasis
акция	stock
акция без фиксированного дивиденда	equity
алименты	alimony
алкаш	drunkard
алкогольный напиток	libation
алчно	avidly
алчность	greed
алчный	insatiable
альтернатива	tradeoff
амбар	barn
амортизация	depreciation
анализировать	sift
аналогично	likewise
аннулирование	defeasance; reversal; revocation
аннулировать	revoke
антракт	intermission
апатичный	languid
аплодировать	clap
аппендикс	appendage
апплодировать	cheer
ареал	habitat
арендатор	tenant
арендодатель	landlord
арест	detention; custody
арестовывать	apprehend
аромат	fragrance
ароматный	fragrant; luscious
арфа	harp
аскетизм	austerity
аспект	aspect; facet
ассортимент	range
атака	bout; assault; onslaught
атаковать	assault
аттракцион	attraction
аудитория	turnout
аутентичность	authenticity
аферист	crook
афоризм	adage
багажник	trunk
бадья	bucket
бак	vat
бактерия	germ
балдахин	canopy
балка	beam
баловать	indulge
бальзам	ointment
бальзамировать	embalm
банальность	platitude
бандит	thug
банкрот	bust
банкротство	insolvency
барабанная перепонка	eardrum
барак	hut
баран	ram; mutton
бараний	mutton
баранина	mutton
барахольщик	magpie
барсук	badger
барьер	hurdle
башка	noggin; pate
бдительность	vigilance
бдительный	vigilant
бег трусцой	jog
беглец	fugitive
бегущая дорожка	treadmill
беда	misfortune; grief
бедность	misery
бедный	miserable
бедро	thigh
бедственный	disastrous
бедствие	distress; scourge
бедствия	adversity
бежать как заяц	hare
без запаха	odourless
без присмотра	unattended
безбрежный	vast
безвестность	obscurity
безвкусное украшение	gaud
безвкусный	gaud; bland
безвозвратный	irrevocable
безвредный	innocuous
безграничный	boundless
бездарно	ineptly
безделка	gaud
бездельник	bum
бездельничать	hang around; loaf
бездна	abyss
безжалостно	relentlessly
безжалостный	ruthless; merciless; unrelenting; cruel
беззаботность	nonchalance
беззаботный	nonchalant
беззаконие	iniquity
беззвучный	soundless
безмерный	immense; immense
безмолвно	mutely
безмолвный	soundless
безмятежно	serene
безмятежность	serenity
безнадежно	desperately
безнадежно больной	incurable
безнадежность	despair
безобидный	innocuous
безобразие	outrage
безоговорочно	by far
безопасный	innocuous
безотлагательный	immediate
безразличие	nonchalance
безрассудно	desperately
безрассудный	reckless; insane
безудержный	headlong
безукоризненно	impeccably
безукоризненный	immaculate
безумие	frenzy
безумный	insane; frenetic
безупречно	impeccably
безупречный	flawless; immaculate
безусловно	by far; certainly; surely; undoubtedly
безуспешно	vainly
безысходный	desperate
берег	shore
бережливый	parsimonious; thrifty
береза	birch
беременная	expectant
беременность	maternity
беречься	beware
беседовать	converse
бесить	enrage
бесконечно	endlessly
бесконечность	perpetuity
бесконечный	perpetual
бескорыстность	selflessness
бескорыстный	disinterested
беспамятный	absentminded
беспечность	nonchalance
беспечный	nonchalant; reckless
бесподобный	unmatched
беспокоить	bother; faze; afflict
беспокойный	hectic; restless
беспокойство	anxiety; concern
беспокойство из-за пустяков	fuss
бесполезный	futile
беспомощность	impotence
беспорядки	disturbance
беспорядок	clutter; muddle; turmoil; disorder
беспорядочный	erratic; promiscuous; discursive
беспощадный	merciless; ferocious; ruthless
беспредельный	boundless
беспринципность	expediency
беспристрастный	impartial
бессвязная речь	rave
бессердечный	callous
бессилие	impotence
бессильный	weak
бессистемный	haphazard
бессмыслица	nonsense
бессонница	insomnia
бесспроно	undoubtedly
бессрочное владение	perpetuity
бесстрашный	daring
бесхитростно	guilelessly
бесценный	priceless
бесцеремонно	offhand
бесчестный	infamous
бесчувственный	insensible
бесшовно	seamlessly
бесящий	infuriating
бетон	concrete
бетонировать	concrete
бетонный	concrete
бешенство	rabies; rage
библиотекарь	librarian
бить	strike; struck
бить копытом	hoof
бич	scourge
бичевать	castigate; scourge
благо	boon
благоговение	awe
благодарность	gratitude
благодарный	grateful
благодарным	appreciate
благодать	grace
благоденствие	welfare
благодеяние	benefaction; boon
благожелательный	benevolent
благополучие	wellbeing; prosperity
благопристойность	decency
благоразумие	discretion; prudence
благоразумный	prudent; prudential; sensible; wise
благоразумный подход	prudential
благородный	generous
благосостояние	wealth; welfare
благотворительность	benevolence; charity; benefaction
благотворительный	benevolent
благоухание	fragrance
благоухающий	fragrant
благочестивый	pious; devout
блаженство	bliss
блевать	puke; vomit
бледнеть	pale
бледность	pallor
бледный	pale
блекнуть	fade
блеск	glare; gleam; flash
блестеть	glitter
блестки	glitter
блестяще	bright
ближайший	immediate
близкий (о дружбе)	bosom
близкий друг	crony
близко	closely; intimately
близость	affinity; intimacy; proximity
блин	pancake
блудник	whoremonger
блуждать	wander
блюдце	saucer
блядун	whoremonger
боа	boa
богато	luxuriantly
богатство	opulence; richness; exuberance; wealth
богатый	affluent; wealthy; abundant
боготворить	venerate
богохульство	blasphemy
богоявление	epiphany
бодать	gore
бодрить	invigorate
бодро	briskly; cheerfully
бодрость	vivacity
бодрость духа	pep
бодрый	buoyant
божественный	divine
божество	deity
бойлер	furnace
бойница	battlement
бойня	massacre; slaughter
бок о бок	alongside
боковой	lateral; peripheral
боковой неф храма	aisle
боком	sideways
болван	blockhead; airhead; dumbbell
более важный	prior
более или менее	more or less
более ранним числом	predate
более того	indeed
болезнь	disease; complaint
болельщик	aficionado
болеть	ail
болото	slough
