abash	смущать; приводить в замешательство; конфузить	You must find those adults to expect the abash these themes.
abate	уменьшаться; ослаблять	It doesn't seem to abate, that is for sure.
abdicate	отрекаться(от престола); отречься	The secretary of state should not abdicate from leadership on educational issues.
abhor	ненавидеть	"To be honest, I kind of abhor the title of ""space tourist."""
abiding	постоянный; неизменный; прочный; послушный	And this was the main abiding-place of the Folk that I had chanced upon.
abjection	отвращение; унижение; приниженность	The notion of abjection is that the abject is a part of us in some profound sense.
abolish	уничтожать; упразднять; отменять	In order to balance the budget by 2020 abolish the entirety of government.
abominable	ужасный; отвратительный; гадкий	Israel literally went beyond the heathen in abominable idolatries.
abominate	питать отвращение; ненавидеть	They abominated the very idea of monarchy.
abreast	рядом; в ряд; вровень	As they drew in abreast, Corry recognized him and halted the dogs.
abrupt	внезапный; резкий	Ah Cho looked at him in abrupt perplexity and said:
abstinence	воздержание; ломка; абстиненция	I started drinking again after six years of abstinence
abuse	злоупотреблять; плохо обращаться; оскорблять	The idea of subjecting every US citizen to this abuse is abhorrent.
accessory	принадлежности; вспомогательный	Remember, the best accessory is a pet identification tag!
acclaim	бурно аплодировать; провозглашать; приветствовать	What heil first and foremost attempts to acclaim is the power of language to acclaim.
accomplice	сообщник; соучастник	An accomplice in the murder
accord	соглашение; гармония; соответствие	I find it in accord with all observable principles of the known universe, save one.
accrual	нарастание; начисление; начисленный (но не оплаченный)	For a young participant, the cash balance accrual is ordinarily faster.
accrue	накопляться; нарастать	Investors long the calls accrue profits if shares surge to $11.61
accustom	привыкать; приучать	Whose heart th 'accustom'd sight of death makes hard.
ache	боль; испытывать боль; жаждать; сострадать	Our legs were already starting to ache from the hard slog downhill all day.
acknowledge	признавать; подтверждать	What Goldstein fails to acknowledge is that this line has already been crossed.
acquit	оправдать; реабилитировать	Yet believing that real life will not acquit, he itches for a sentence.
acumen	сообразительность; острота ума; проницательность	Your scientific acumen is clearly lacking.
acute	острый; резкий	Orthopaedic consultation in acute and chronic rheumatic diseases
additivity	аддитивность; суммируемость	Examples of chemical or drug additivity reactions are:
adherence	строгое соблюдение; приверженность; верность	A strict adherence to etiquette.
adjoin	граничить; прилегать	It is easy to point a finger at villagers whose homes adjoin orangutan habitat.
admire	любоваться; восхищаться	In the field of fiction the book I most admire is The Great Gatsby by Fitzgerald.
adorning	украшение; являться атрибутом	It is thought that he did this to use the elaborate sculpture in adorning his palace.
adulatory	льстивый; угодливый; прелюбодейный	I wonder how adulatory the BBC coverage will be.
adverse	враждебный; неблагоприятный	As being highly reliable in adverse conditions.
adversity	несчастья; бедствия; напасти; испытание; трудность	And struck a match - Ah, even in adversity life can be sweet.
affable	приветливый; любезный	An affable and agreeable companion.
affectation	притворство; манерность; жеманство	I think a lot of characters start in affectation and then build from there.
affection	нежность; любовь; привязанность	Our affection is the most ardent.
affinity	близость; родственность; сходство	But I have a certain affinity for the weak odor of a pig farm.
affirmative	утвердительный; положительный	Affirmative action has become more controversial.
afflict	огорчать; тревожить; беспокоить	At the same time, it meant “to afflict” or “to trouble.”
affluent	богатый; полноводный; обильный; приток реки	Do you think that landlords in affluent areas take vouchers?
aft	кормовой; корма	I caught him aft from the galley on a trip to the lazarette for provisions.
aggravate	усугублять; отягчать	Military action would only aggravate the situation
ail	болеть; недомогать	Exercise is good for whatever ails you
